| bill_id | customer_id | amount |
| ------- | ----------- | ------ |
| 3       | 3           | 96     |
| 7       | 6           | 908    | 1 6 6
| 23      | 2           | 298    |
| 19      | 4           | 255    |
| 11      | 7           | 757    | 1 7 7
| 12      | 8           | 430    |
| 24      | 4           | 10     |
| 25      | 9           | 778    | 1 9 9
| 8       | 6           | 268    |
| 4       | 9           | 13     |
| 20      | 7           | 157    |
| 1       | 5           | 500    | 1 5 5
| 15      | 9           | 699    | 1 9 
| 26      | 7           | 366    |
| 10      | 4           | 966    | 1 4 4
| 6       | 4           | 562    | 1 4
| 22      | 2           | 124    |
| 18      | 2           | 822    | 1 2 2 
| 16      | 8           | 666    | 1 8 8
